ticker,name
1110,東泥
1109,信大
1108,幸福
1104,環泥
1103,嘉泥
1201,味全
1215,卜蜂
1225,福懋油
1220,台榮
1210,大成
1218,泰山
1217,愛之味
1219,福壽
1232,大統益
1102,亞泥
1101,台泥
1231,聯華食
1234,黑松
1236,宏亞
1307,三芳
1229,聯華
1315,達新
1310,台苯
1309,台達化
1304,台聚
1308,亞聚
1305,華夏
1301,台塑
1313,聯成
1312,國喬
1321,大洋
1316,上曜
1336,台翰
1340,勝悅-KY
1314,中石化
1339,昭輝
1338,廣華-KY
1342,八貫
1337,再生-KY
1325,恆大
1319,東陽
1423,利華
1435,中福
1414,東和
1432,大魯閣
1417,嘉裕
1439,雋揚
1437,勤益控
1444,力麗
1441,大東
1326,台化
1446,宏和
1442,名軒
1449,佳和
1409,新纖
1451,年興
1453,大將
1454,台富
1452,宏益
1402,遠東新
1456,怡華
1440,南紡
1463,強盛
1447,力鵬
1459,聯發
1457,宜進
1466,聚隆
1464,得力
1473,台南
1460,宏遠
1471,首利
1455,集盛
1467,南緯
1474,弘裕
1506,正道
1503,士電
1516,川飛
1476,儒鴻
1525,江申
1477,聚陽
1517,利奇
1514,亞力
1515,力山
1504,東元
1522,堤維西
1524,耿鼎
1513,中興電
1519,華城
1531,高林股
1526,日馳
1527,鑽全
1528,恩德
1529,樂事綠能
1532,勤美
1540,喬福
1558,伸興
1539,巨庭
1533,車王電
1565,精華
1568,倉佑
1570,力肯
1580,新麥
1536,和大
1569,濱川
1586,和勤
1587,吉茂
1591,駿吉-KY
1593,祺驊
1584,精剛
1560,中砂
1599,宏佳騰
1603,華電
1589,永冠-KY
1597,直得
1590,亞德客-KY
1604,聲寶
1598,岱宇
1615,大山
1608,華榮
1616,億泰
1611,中電
1618,合機
1612,宏泰
1707,葡萄王
1609,大亞
1605,華新
1701,中化
1708,東鹼
1709,和益
1710,東聯
1711,永光
1712,興農
1725,元禎
1721,三晃
1720,生達
1714,和桐
1717,長興
1730,花仙子
1723,中碳
1718,中纖
1727,中華化
1733,五鼎
1731,美吾華
1742,台蠟
1722,台肥
1732,毛寶
1777,生泰
1752,南光
1781,合世
1734,杏輝
1736,喬山
1773,勝一
1786,科妍
1784,訊聯
1799,易威
1783,和康生
1760,寶齡富錦
1762,中化生
1808,潤隆
1806,冠軍
1789,神隆
1903,士紙
1785,光洋科
1809,中釉
1810,和成
1795,美時
1906,寶隆
1802,台玻
1815,富喬
2008,高興昌
1905,華紙
1904,正隆
2007,燁興
2012,春雨
1907,永豐餘
1909,榮成
2010,春源
2009,第一銅
2006,東和鋼鐵
2013,中鋼構
2015,豐興
2020,美亞
2002,中鋼
2017,官田鋼
2024,志聯
2022,聚亨
2014,中鴻
2029,盛餘
2028,威致
2033,佳大
2032,新鋼
2030,彰源
2023,燁輝
2065,世豐
2034,允強
2062,橋椿
2031,新光鋼
2027,大成鋼
2059,川湖
2038,海光
2069,運錩
2101,南港
2114,鑫永銓
2049,上銀
2109,華豐
2102,泰豐
2107,厚生
2106,建大
2103,台橡
2104,國際中橡
2207,和泰車
2108,南帝
2105,正新
2211,長榮鋼
2227,裕日車
2221,大甲
2204,中華
2206,三陽工業
2228,劍麟
2230,泰茂
2208,台船
2243,宏旭-KY
2241,艾姆勒
2239,英利-KY
2201,裕隆
2247,汎德永業
2233,宇隆
2231,為升
2302,麗正
2305,全友
2316,楠梓電
2314,台揚
2312,金寶
2303,聯電
2301,光寶科
2308,台達電
2313,華通
2323,中環
2317,鴻海
2328,廣宇
2324,仁寶
2327,國巨
2331,精英
2329,華泰
2330,台積電
2338,光罩
2337,旺宏
2340,台亞
2348,海悅
2342,茂矽
2345,智邦
2349,錸德
2344,華邦電
2347,聯強
2351,順德
2355,敬鵬
2358,廷鑫
2362,藍天
2352,佳世達
2354,鴻準
2359,所羅門
2353,宏碁
2364,倫飛
2357,華碩
2360,致茂
2356,英業達
2365,昆盈
2363,矽統
2374,佳能
2369,菱生
2380,虹光
2367,燿華
2375,凱美
2371,大同
2368,金像電
2377,微星
2376,技嘉
2379,瑞昱
2387,精元
2383,台光電
2382,廣達
2390,云辰
2385,群光
2388,威盛
2395,研華
2392,正崴
2393,億光
2399,映泰
2402,毅嘉
2401,凌陽
2404,漢唐
2405,輔信
2414,精技
2413,環科
2415,錩新
2406,國碩
2423,固緯
2419,仲琦
2408,南亞科
2427,三商電
2409,友達
2417,圓剛
2425,承啟
2430,燦坤
2421,建準
2426,鼎元
2428,興勤
2431,聯昌
2440,太空梭
2444,兆勁
2450,神腦
2442,新美齊
2453,凌群
2439,美律
2441,超豐
2436,偉詮電
2451,創見
2462,良得電
2460,建通
2449,京元電子
2461,光群雷
2455,全新
2454,聯發科
2457,飛宏
2464,盟立
2458,義隆
2468,華經
2465,麗臺
2467,志聖
2471,資通
2477,美隆電
2483,百容
2472,立隆電
2480,敦陽科
2482,連宇
2476,鉅祥
2478,大毅
2491,吉祥全
2474,可成
2485,兆赫
2484,希華
2493,揚博
2481,強茂
2486,一詮
2495,普安
2489,瑞軒
2506,太設
2497,怡利電
2509,全坤建
2514,龍邦
2505,國揚
2516,新建
2492,華新科
2524,京城
2511,太子
2530,華建
2527,宏璟
2504,國產
2536,宏普
2498,宏達電
2540,愛山林
2537,聯上發
2515,中工
2520,冠德
2538,基泰
2546,根基
2545,皇翔
2597,潤弘
2547,日勝生
2608,嘉里大榮
2542,興富發
2601,益航
2607,榮運
2611,志信
2605,新興
2606,裕民
2613,中櫃
2603,長榮
2612,中航
2609,陽明
2616,山隆
2610,華航
2630,亞航
2614,東森
2645,長榮航太
2643,捷迅
2617,台航
2615,萬海
2642,宅配通
2636,台驊投控
2704,國賓
2702,華園
2634,漢翔
2641,正德
2705,六福
2618,長榮航
2706,第一店
2637,慧洋-KY
2722,夏都
2726,雅茗-KY
2739,寒舍
2734,易飛網
2745,五福
2707,晶華
2736,富野
2732,六角
2743,山富
2748,雲品
2731,雄獅
2753,八方雲集
2723,美食-KY
2727,王品
2754,亞洲藏壽司
2832,台產
2836,高雄銀
2852,第一保
2851,中再保
2834,臺企銀
2855,統一證
2867,三商壽
2881,富邦金
2882,國泰金
2883,開發金
2887,台新金
2889,國票金
2888,新光金
2911,麗嬰房
2906,高林
2905,三商
2890,永豐金
2897,王道銀行
2939,凱羿-KY
2891,中信金
3002,歐格
3004,豐達科
2929,淘帝-KY
2913,農林
2912,統一超
3003,健和興
2915,潤泰全
3013,晟銘電
3011,今皓
3010,華立
3005,神基
3008,大立光
3015,全漢
3018,隆銘綠能
3021,鴻名
3006,晶豪科
3014,聯陽
3022,威強電
3024,憶聲
3025,星通
3016,嘉晶
3023,信邦
3026,禾伸堂
3019,亞光
3027,盛達
3028,增你強
3031,佰鴻
3017,奇鋐
3032,偉訓
3030,德律
3029,零壹
3040,遠見
3033,威健
3038,全台
3046,建碁
3034,聯詠
3036,文曄
3041,揚智
3035,智原
3044,健鼎
3037,欣興
3042,晶技
3047,訊舟
3052,夆典
3048,益登
3055,蔚華科
3050,鈺德
3051,力特
3057,喬鼎
3066,李洲
3049,和鑫
3058,立德
3056,總太
3060,銘異
3071,協禧
3088,艾訊
3093,港建*
3083,網龍
3078,僑威
3081,聯亞
3059,華晶科
3062,建漢
3114,好德
3092,鴻碩
3090,日電貿
3094,聯傑
3128,昇銳
3122,笙泉
3147,大綜
3131,弘塑
3138,耀登
3162,精確
3164,景岳
3152,璟德
3167,大量
3105,穩懋
3149,正達
3141,晶宏
3206,志豐
3205,佰研
3163,波若威
3178,公準
3176,基亞
3202,樺晟
3169,亞信
3207,耀勝
3209,全科
3224,三顧
3230,錦明
3211,順達
3189,景碩
3217,優群
3218,大學光
3221,台嘉碩
3228,金麗科
3232,昱捷
3252,海灣
3236,千如
3227,原相
3268,海德威
3276,宇環
3234,光環
3257,虹冠電
3287,廣寰科
3272,東碩
3265,台星科
3231,緯創
3290,東浦
3297,杭特
3296,勝德
3294,英濟
3303,岱稜
3289,宜特
3260,威剛
3311,閎暉
3306,鼎天
3264,欣銓
3293,鈊象
3321,同泰
3312,弘憶股
3305,昇貿
3322,建舜電
3339,泰谷
3325,旭品
3354,律勝
3323,加百裕
3317,尼克森
3360,尚立
3357,臺慶科
3346,麗清
3338,泰碩
3356,奇偶
3324,雙鴻
3372,典範
3363,上詮
3379,彬台
3373,熱映
3362,先進光
3390,旭軟
3416,融程電
3430,奇鈦科
3402,漢科
3376,新日興
3434,哲固
3432,台端
3374,精材
3419,譁裕
3380,明泰
3413,京鼎
3438,類比科
3441,聯一光電
3444,利機
3437,榮創
3406,玉晶光
3454,晶睿
3450,聯鈞
3466,德晉
3455,由田
3479,安勤
3443,創意
3490,單井
3484,崧騰
3498,陽程
3494,誠研
3499,環天科
3483,力致
3501,維熹
3491,昇達科
3521,鴻翊
3518,柏騰
3520,華盈
3522,御頂
3481,群創
3508,位速
3511,矽瑪
3504,揚明光
3515,華擎
3526,凡甲
3527,聚積
3541,西柏
3530,晶相光
3543,州巧
3529,力旺
3535,晶彩科
3540,曜越
3533,嘉澤
3532,台勝科
3550,聯穎
3546,宇峻
3551,世禾
3548,兆利
3557,嘉威
3564,其陽
3567,逸昌
3556,禾瑞亞
3563,牧德
3558,神準
3581,博磊
3552,同致
3545,敦泰
3580,友威科
3591,艾笛森
3583,辛耘
3587,閎康
3594,磐儀
3588,通嘉
3607,谷崧
3615,安可
3592,瑞鼎
3576,聯合再生
3617,碩天
3628,盈正
3605,宏致
3622,洋華
3646,艾恩特
3625,西勝
3652,精聯
3596,智易
3663,鑫科
3645,達邁
3630,新鉅科
3624,光頡
3666,光耀
3679,新至陞
3669,圓展
3685,元創精密
3653,健策
3675,德微
3665,貿聯-KY
3661,世芯-KY
3673,TPK-KY
3686,達能
3680,家登
3687,歐買尬
3689,湧德
3682,亞太電
3693,營邦
3691,碩禾
3694,海華
3701,大眾控
3705,永信
3713,新晶投控
3703,欣陸
3710,連展投控
3712,永崴投控
3704,合勤控
3708,上緯投控
4102,永日
3714,富采
3706,神達
3707,漢磊
4104,佳醫
4109,加捷生醫
4107,邦特
4111,濟生
4113,聯上
3711,日月光投控
4106,雃博
4120,友華
4116,明基醫
4108,懷特
4105,東洋
4126,太醫
4127,天良
4119,旭富
4129,聯合
4114,健喬
4121,優盛
4137,麗豐-KY
4130,健亞
4153,鈺緯
4123,晟德
4148,全宇生技-KY
4161,聿新科
4133,亞諾法
4128,中天
4163,鐿鈦
4155,訊映
4147,中裕
4164,承業醫
4142,國光生
4175,杏一
4157,太景*-KY
4168,醣聯
4173,久裕
4167,松瑞藥
4190,佐登-KY
4162,智擎
4171,瑞基
4192,杏國
4303,信立
4207,環泰
4174,浩鼎
4401,東隆興
4402,福大
4417,金洲
4433,興采
4438,廣越
4432,銘旺實
4513,福裕
4414,如興
4503,金雨
4426,利勤
4306,炎洲
4526,東台
4545,銘鈺
4536,拓凱
4532,瑞智
4540,全球傳動
4572,駐龍
4576,大銀微系統
4722,國精化
4566,時碩工業
4720,德淵
4551,智伸科
4564,元翎
4766,南寶
4770,上品
4763,材料-KY
4755,三福化
4912,聯德控股-KY
4746,台耀
4739,康普
4916,事欣科
4930,燦星網
4906,正文
4935,茂林-KY
4927,泰鼎-KY
4915,致伸
4934,太極
4919,新唐
4943,康控-KY
4952,凌通
4956,光鋐
4994,傳奇
4938,和碩
4989,榮科
4960,誠美材
4999,鑫禾
4977,眾達-KY
4967,十銓
4961,天鈺
4976,佳凌
5203,訊連
4958,臻鼎-KY
4968,立積
5225,東科-KY
5215,科嘉-KY
5244,弘凱
5222,全訊
5234,達興材料
5283,禾聯碩
5284,jpp-KY
5288,豐祥-KY
5306,桂盟
5515,建國
5258,虹堡
5243,乙盛-KY
5269,祥碩
5285,界霖
5519,隆大
5533,皇鼎
5471,松翰
5388,中磊
5469,瀚宇博
5521,工信
5531,鄉林
5522,遠雄
5907,大洋-KY
5607,遠雄港
5706,鳳凰
6108,競國
6112,邁達特
5608,四維航
6128,上福
6136,富爾特
5871,中租-KY
6133,金橋
6005,群益證
6141,柏承
6142,友勁
6120,達運
6139,亞翔
6152,百一
6155,鈞寶
6166,凌華
6164,華興
6116,彩晶
6165,浪凡
6168,宏齊
6153,嘉聯益
6197,佳必琪
6206,飛捷
6205,詮欣
6196,帆宣
6191,精成科
6216,居易
6214,精誠
6209,今國光
6215,和椿
6202,盛群
6230,尼得科超眾
6213,聯茂
6224,聚鼎
6243,迅杰
6226,光鼎
6235,華孚
6405,悅城
6283,淳安
6257,矽格
6269,台郡
6409,旭隼
6271,同欣電
6278,台表科
6288,聯嘉
6442,光聖
6412,群電
6285,啟碁
6282,康舒
6426,統新
6416,瑞祺電通
6415,矽力*-KY
6449,鈺邦
6414,樺漢
6438,迅得
6504,南六
6451,訊芯-KY
6491,晶碩
6525,捷敏-KY
6515,穎崴
6456,GIS-KY
6443,元晶
6477,安集
6541,泰福-KY
6573,虹揚-KY
6552,易華電
6581,鋼聯
6505,台塑化
6533,晶心科
6558,興能高
6531,愛普*
6657,華安
6550,北極星藥業-KY
6666,羅麗芬-KY
6591,動力-KY
6582,申豐
6605,帝寶
6598,ABC-KY
6691,洋基工程
6668,中揚光
6689,伊雲谷
6592,和潤企業
6695,芯鼎
6670,復盛應用
6698,旭暉應材
6753,龍德造船
6715,嘉基
6672,騰輝電子-KY
6768,志強-KY
6669,緯穎
6719,力智
6776,展碁國際
6743,安普新
6782,視陽
6790,永豐實
6796,晉弘
6781,AES-KY
6792,詠業
6789,采鈺
6756,威鋒電子
6706,惠特
6799,來頡
6806,森崴能源
6770,力積電
8072,陞泰
8011,台通
8021,尖點
8039,台虹
8033,雷虎
8070,長華*
8016,矽創
8028,昇陽半導體
8103,瀚荃
8104,錸寶
8081,致新
8105,凌巨
8114,振樺電
8201,無敵
8046,南電
8131,福懋科
8110,華東
8210,勤誠
8249,菱光
8222,寶一
8112,至上
8163,達方
8213,志超
8341,日友
8374,羅昇
8367,建新國際
8150,南茂
8404,百和興業-KY
8271,宇瞻
8215,明基材
8462,柏文
8463,潤泰材
8422,可寧衛
8429,金麗-KY
8261,富鼎
8499,鼎炫-KY
8940,新天地
8454,富邦媒
911868,同方友友-DR
8464,億豐
8478,東哥遊艇
912000,晨訊科-DR
9136,巨騰-DR
9902,台火
9103,美德醫療-DR
9905,大華
9105,泰金寶-DR
8926,台汽電
8996,高力
9911,櫻花
9802,鈺齊-KY
9907,統一實
9927,泰銘
9914,美利達
9910,豐泰
9904,寶成
9921,巨大
9934,成霖
9935,慶豐富
9919,康那香
9942,茂順
9946,三發地產
9943,好樂迪
9944,新麗
9940,信義
9941,裕融
9933,中鼎
9955,佳龍
9938,百和
9939,宏全
9945,潤泰新
9958,世紀鋼
